buck  \\n. (sl.) U.S. dollar

plastic  塑料的
  塑料

doorknob  门把手

leisurely  从容的，慢慢的

leisure  空闲时间，闲暇

lucrative  有利的；赚钱的

pain  \\vt. cause pain to

panhandle  \\vi. (AmE) beg. esp. on the streets

delivery  投递；送交

enthuse  \\vi. show enthusiasm

inquire  \\vt. ask

snap  厉声说

insert  插页

responsible  有责任的，应负责任的

normally  通常

company  公司

echo  附和；重复

ad  \\n. (short for) advertisement

inform  告知

porch  门廊

armload  \\n. as much as one arm or both arms can hold; armful

walk  人行道

unnaturally  不自然地

quaver  颤抖

truckload  \\n. as much or as many as a truck can carry

department store  百货公司

dime  \\n. coin of U.S. and Canada worth ten cents

dime store  廉价商品店；小商口店

drugstore  药店，杂货店

grocery  食品杂货店

section  文章等的）段落；节；部分

cram  把……塞满；把……塞进

stack  一叠（堆、垛等）

band  带；带状物
  捆扎

rubber band  橡皮筋

takeout  餐馆）出售外卖菜的

range  听觉、视觉等）的范围

marvel(l)ous  \\a. wonderful; astonishing

steak  牛排；大块肉（或鱼）片

sour  酸的

eel  鳗鲡

diplomacy  外交

encouraging  鼓舞人心的

dent  凹痕，凹坑，初步进展

reproduce  's own kind) 生殖，繁殖

bodily  \\a. of the human body; physical

harm  伤害

audience  观众；听众；陈述意见的机会

snarl  咆哮着说

bonus  奖金

thoughtful  沉思的，思考的

cash  现金

activist  激进分子

work force  工人总数；劳动人口

competitive  竞争的

organizer  组织者

mediation  调解

party  一方；当事人

gradually  \\ad. slowly and by degrees.

gradual  \\a.

shrink (shrank, shrunk)  减少；变小

deadline  最后期限

station wagon  小型客车，客货两用车

minimum (pl. minima or minimums)  最低限度的量、数等

minimum wage  法定最工资

odd  \\a. strange; unusual

goings-on  \\n. activities, usu. of an undesirable kind

carton  纸板箱（或盒） curbside
  人行道的镶边石）

enlist  取得……的支持和帮助；征募

trash  垃圾

pickup  小卡车；轻型货车

overhear  无意中听到；偷听到

finance  财政；钱财；金融

geez  哎呀，呀

sale  \\n. the act of selling sth.

